model,dims,train time,test time
IsolationForest,25088,0.2062850532,0.3089799919
IsolationForest,38400,0.1984170893,0.438113829
IsolationForest,50176,0.2172662825,0.5711585756
IsolationForest,100352,0.2349818596,1.185266082
IsolationForest,151296,0.2438885018,1.75586474
IsolationForest,200704,0.2722873727,2.294465623
IsolationForest,401408,0.3387130767,4.525191323
IsolationForest,802816,0.5273996474,9.011653902
KernelDensity,25088,0.688107592,1.487570637
KernelDensity,38400,1.058541323,2.431367862
KernelDensity,50176,1.381579041,3.192696404
KernelDensity,100352,2.804251331,5.264082289
KernelDensity,151296,4.168930996,8.912020351
KernelDensity,200704,5.620167451,10.7812629
KernelDensity,401408,11.44551201,20.58187996
KernelDensity,802816,22.94193159,43.04533999
LocalOutlierFactor,25088,0.5281046657,0.2057975363
LocalOutlierFactor,38400,0.7896469241,0.2862916474
LocalOutlierFactor,50176,1.025195113,0.3693831288
LocalOutlierFactor,100352,2.163905166,0.8192971936
LocalOutlierFactor,151296,3.077679907,1.072241308
LocalOutlierFactor,200704,4.262947578,1.550097013
LocalOutlierFactor,401408,8.928434778,3.385018016
LocalOutlierFactor,802816,7.497805043,6.126902345
OneClassSVM,25088,3.966211077,0.2635481624
OneClassSVM,38400,6.349780412,0.48533488
OneClassSVM,50176,8.285307378,0.5790726201
OneClassSVM,100352,21.33958389,1.49932009
OneClassSVM,151296,29.55256464,2.277386088
OneClassSVM,200704,40.64291656,2.862885447
OneClassSVM,401408,90.28540229,6.195284617
OneClassSVM,802816,186.1943875,12.41306679
EllipticEnvelope,32,0.7146425466,0.0002303848664
EllipticEnvelope,64,1.55628223,0.0003377784943
EllipticEnvelope,128,5.992289282,0.0007642576064
EllipticEnvelope,256,15.8521165,0.002804161112